sample_id,suggested_failure,failure_type,note
s42-spatial_relation-003-a,spatial_reasoning_error,,
s42-spatial_relation-003-b,spatial_reasoning_error,,
s42-spatial_relation-007-a,spatial_reasoning_error,,
s42-spatial_relation-007-b,spatial_reasoning_error,,
s42-spatial_relation-012-a,spatial_reasoning_error,,
s42-spatial_relation-012-b,spatial_reasoning_error,,
s42-spatial_relation-013-a,spatial_reasoning_error,,
s42-spatial_relation-013-b,spatial_reasoning_error,,
s42-spatial_relation-018-a,spatial_reasoning_error,,
s42-spatial_relation-018-b,spatial_reasoning_error,,
s42-attribute_binding-000-b,attribute_binding_error,,
s42-attribute_binding-001-b,attribute_binding_error,,
s42-attribute_binding-003-b,attribute_binding_error,,
s42-attribute_binding-004-b,attribute_binding_error,,
s42-attribute_binding-006-b,attribute_binding_error,,
s42-attribute_binding-007-b,attribute_binding_error,,
s42-attribute_binding-009-b,attribute_binding_error,,
s42-attribute_binding-010-b,attribute_binding_error,,
s42-attribute_binding-012-b,attribute_binding_error,,
s42-attribute_binding-013-b,attribute_binding_error,,
s42-attribute_binding-015-b,attribute_binding_error,,
s42-attribute_binding-016-b,attribute_binding_error,,
s42-attribute_binding-018-b,attribute_binding_error,,
s42-attribute_binding-019-b,attribute_binding_error,,
s42-target_selection-000-a,instruction_following_error,,
s42-target_selection-000-b,instruction_following_error,,
s42-target_selection-001-a,instruction_following_error,,
s42-target_selection-001-b,instruction_following_error,,
s42-target_selection-003-a,instruction_following_error,,
s42-target_selection-003-b,instruction_following_error,,
s42-target_selection-004-a,instruction_following_error,,
s42-target_selection-004-b,instruction_following_error,,
s42-target_selection-006-a,instruction_following_error,,
s42-target_selection-006-b,instruction_following_error,,
s42-target_selection-007-a,instruction_following_error,,
s42-target_selection-007-b,instruction_following_error,,
s42-target_selection-009-a,instruction_following_error,,
s42-target_selection-009-b,instruction_following_error,,
s42-target_selection-010-a,instruction_following_error,,
s42-target_selection-010-b,instruction_following_error,,
s42-target_selection-012-a,instruction_following_error,,
s42-target_selection-012-b,instruction_following_error,,
s42-target_selection-013-a,instruction_following_error,,
s42-target_selection-013-b,instruction_following_error,,
s42-target_selection-015-a,instruction_following_error,,
s42-target_selection-015-b,instruction_following_error,,
s42-target_selection-016-a,instruction_following_error,,
s42-target_selection-016-b,instruction_following_error,,
s42-target_selection-018-a,instruction_following_error,,
s42-target_selection-018-b,instruction_following_error,,
s42-target_selection-019-a,instruction_following_error,,
s42-target_selection-019-b,instruction_following_error,,
s42-instruction_following-000-a,instruction_following_error,,
s42-instruction_following-000-b,instruction_following_error,,
s42-instruction_following-001-a,instruction_following_error,,
s42-instruction_following-001-b,instruction_following_error,,
s42-instruction_following-003-a,instruction_following_error,,
s42-instruction_following-003-b,instruction_following_error,,
s42-instruction_following-004-a,instruction_following_error,,
s42-instruction_following-004-b,instruction_following_error,,
s42-instruction_following-006-a,instruction_following_error,,
s42-instruction_following-006-b,instruction_following_error,,
s42-instruction_following-007-a,instruction_following_error,,
s42-instruction_following-007-b,instruction_following_error,,
s42-instruction_following-009-a,instruction_following_error,,
s42-instruction_following-009-b,instruction_following_error,,
s42-instruction_following-010-a,instruction_following_error,,
s42-instruction_following-010-b,instruction_following_error,,
s42-instruction_following-012-a,instruction_following_error,,
s42-instruction_following-012-b,instruction_following_error,,
s42-instruction_following-013-a,instruction_following_error,,
s42-instruction_following-013-b,instruction_following_error,,
s42-instruction_following-015-a,instruction_following_error,,
s42-instruction_following-015-b,instruction_following_error,,
s42-instruction_following-016-a,instruction_following_error,,
s42-instruction_following-016-b,instruction_following_error,,
s42-instruction_following-018-a,instruction_following_error,,
s42-instruction_following-018-b,instruction_following_error,,
s42-instruction_following-019-a,instruction_following_error,,
s42-instruction_following-019-b,instruction_following_error,,
s42-counterfactual-000-b,attribute_binding_error,,
s42-counterfactual-001-b,attribute_binding_error,,
s42-counterfactual-003-b,attribute_binding_error,,
s42-counterfactual-004-b,attribute_binding_error,,
s42-counterfactual-006-b,attribute_binding_error,,
s42-counterfactual-007-b,attribute_binding_error,,
s42-counterfactual-009-b,attribute_binding_error,,
s42-counterfactual-010-b,attribute_binding_error,,
s42-counterfactual-012-b,attribute_binding_error,,
s42-counterfactual-013-b,attribute_binding_error,,
s42-counterfactual-015-b,attribute_binding_error,,
s42-counterfactual-016-b,attribute_binding_error,,
s42-counterfactual-018-b,attribute_binding_error,,
s42-counterfactual-019-b,attribute_binding_error,,
